,,,,,,,,,,,,,,,,,,,
1,Unit Listing,,,,,,,,Specifications,,,,,,,,Manufacturer,,Notes
2,Brand,Series,,,Wattages + Links,Tier,Year,,Size,ATX Ver.,Input Range,Modularity,Efficiency,Topology,,,ODM,Platform Code,Notes
31,,,,Modular,1000W,C,2024,,ATX,ATX 3.x,230V,Semi,B,DF,SR,DC-DC,Changhu,Unknown,ODM is Dongguan Changhu Electronics Co. Ltd.
32,,,,,,,,,,,,,,,,,,,
33,Acer,AC,,Gold,1000W,E,2024,,ATX,ATX 2.x,230V,Full,G,DF,SSR,DC-DC,Soeyi,WT-CM6800U-DTD,"12VHPWR cable, unknown quality fan (likely sleeve bearing), no claimed OTP. Only teardowns proving platform."
34,,,,,,,,,,,,,,,,,,,
35,ADATA XPG,Core Reactor,,II,650/750/850W,A+,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,CWT,CSE-S,ATX 3.0 refresh
36,,,,,1000/1200W,A+,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,CWT,CSZ,
37,,,,II VE,650/750/850W,A,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,CWT,CSE-S,Costdown Core Reactor II
38,,,,-,650/750/850W,A+,2019,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,CSE-S,
39,,Core Shift,,II,750W,B,2020,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,CWT,GPX 3.0,"Mid quality fan; Same Martech ""FDB"" fan on the MSI A-GL series."
40,,,,,850W,C+,2020,,ATX,ATX 3.x,230V,Full,G,LLC,SR,DC-DC,CWT,GPX 3.0,"Read note regarding input range. Mid quality fan; Same Martech ""FDB"" fan on the MSI A-GL series."
41,,,,-,650W,B,2020,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,GPX,"Despite markings on the DC-DC daughterboard indicating CWT GPU, internal shots confirm CWT GPX."
42,,,,,750W,B-,2020,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,GPX,"Despite markings on the DC-DC daughterboard indicating CWT GPU, internal shots confirm CWT GPX."
43,,,,,850W,C+,2020,,ATX,ATX 2.x,230V,Full,G,LLC,SR,DC-DC,CWT,GPX,"Read note regarding input range. Despite markings on the DC-DC daughterboard indicating CWT GPU, internal shots confirm CWT GPX."
44,,Cybercore,,II,1000/1300W,A+,2023,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,CWT,Upgraded CTT,Semi-digital
45,,,,-,1000/1300W,A+,2022,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,CWT,Upgraded CTT,Semi-digital
46,,Fusion,,,1600W,A+,2023,,ATX,ATX 3.x,Full,Full,T,LLC,SR,DC-DC,Delta,Custom (GPS-1600AP),Totem pole PFC
47,,Kyber,,,650W,B-,2023,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,CWT,GPW,
48,,,,,750/850W,B-,2023,,ATX,ATX 3.x,Full,No,G,LLC,SR,DC-DC,CWT,GPW,
49,,Probe,,,600/700W,E,2023,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,CWT,GPM,
50,,Pylon,,,450/550/650W,C+,2020,,ATX,ATX 2.x,Full,No,B,DF,PR,DC-DC,CWT,CSB-A,650W is technically rated Cybenetics Silver
51,,,,,750W,C+,2020,,ATX,ATX 2.x,Full,No,B,DF,SSR,DC-DC,CWT,CSB-A,750W is technically rated Cybenetics Silver
52,,,,,,,,,,,,,,,,,,,
53,Aerocool,AE,,,550/650/750W,E,2023,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,SANR,,Overall very low build quality
54,,Aero,Bronze,Non-Modular,500-750W,C-,2020,,ATX,ATX 2.x,230V,No,B,DF,SSR,DC-DC,SANR,,
55,,,,Modular,550-850W,C-,2021,,ATX,ATX 2.x,230V,Full,B,DF,SSR,DC-DC,SANR,,
56,,,White,,500-700W,E,2020,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,SANR,,
57,,Cylon,,,500/600/700W,F,2022,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,SANR,,"""Full Range"" version is equally as bad according to the claimed specs."
58,,Higgs,,,650/750/850W,F,2016,,ATX,ATX 2.x,230V,Semi,N,DF,PR,GR,SANR,,"Claims APFC, ""90+"" badge, extremely low 12V output relative to total, as is per usual for terrible PSUs"
59,,Integrator Gold,,,750-1000W,B-,2023,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,SANR,S-MZ,
60,,KCAS,Bronze,Non-Mod.,400-700W,E,2016,,ATX,ATX 2.x,230V,No,B,DF,PR,GR,Andyson,Z8,
61,,,,Modular,650/750W,E,2016,,ATX,ATX 2.x,230V,Semi,B,DF,PR,GR,HEC,STX,Double-sourced between HEC and Andyson
62,,,,,,E,2016,,ATX,ATX 2.x,230V,Semi,B,DF,PR,GR,Andyson,Z8,
63,,,,,850/1000W,E,2016,,ATX,ATX 2.x,230V,Semi,B,DF,PR,DC-DC,HEC,EVGA BQ 850W,
64,,,,,1200W,C,2016,,ATX,ATX 2.x,230V,Semi,B,DF,SSR,DC-DC,Andyson,C8,
65,,,Plus Bronze,Non-Mod.,400-800W,C,2015,,ATX,ATX 2.x,230V,No,B,DF,SSR,DC-DC,Andyson,A8 costdown,
66,,,,Modular,650/750W,C,2015,,ATX,ATX 2.x,230V,Semi,B,DF,SSR,DC-DC,Andyson,A8 costdown,
67,,,Gold,Non-Mod.,550-850W,C,2015,,ATX,ATX 2.x,Full,No,G,DF,SSR,DC-DC,Andyson,Q8,
68,,,,Modular,650/750/850W,C,2015,,ATX,ATX 2.x,Full,Semi,G,DF,SSR,DC-DC,Andyson,Q8,
69,,LUX,Standard,,550-1000W,E,2020,,ATX,ATX 2.x,230V,No,B,DF,PR,GR,SANR,S-AZ,"1000W model might be DC-DC, unable to confirm without a proper teardown"
70,,,RGB,,550-1000W,E,2020,,ATX,ATX 2.x,230V,No,B,DF,PR,GR,SANR,S-AZ,
71,,,M,,550-1000W,E,2021,,ATX,ATX 2.x,230V,Semi,B,DF,PR,GR,SANR,S-AZ,
72,,,RGB Mod.,,550-1000W,E,2021,,ATX,ATX 2.x,230V,Semi,B,DF,PR,GR,SANR,S-AZ,
73,,,Pro / Pro RGB Modular,,550-750W,E,2023,,ATX,ATX 2.x,230V,No,B,DF,PR,GR,SANR,,Pro and Pro RGB Modular are the same internally.
74,,Mirage Gold,,Non-Mod.,650/750/850W,C,2022,,ATX,ATX 2.x,Full,No,G,DF,SR,DC-DC,SANR,,No OTP claimed
75,,,,Modular,650/750/850W,C,2022,,ATX,ATX 2.x,Full,Full,G,DF,SR,DC-DC,SANR,,
76,,Project 7 (P7),,,650-850W,A-,2017,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,Andyson,Upgraded H8,
77,,United Power,,,500/600W,E,2021,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,SANR,,
78,,VP,,,450-750W,E,2022,,ATX,ATX 2.x,230V,No,B,DF,PR,GR,SANR,,
79,,VX Plus,,-,350-800W,F,2023,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,SANR,,"PPFC on 650W models and below. ""Specifications are subject to change at any time without notice."""
80,,,,RGB,350-800W,F,2023,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,SANR,,"PPFC on 650W models and below. ""Specifications are subject to change at any time without notice."""
81,,,,,,,,,,,,,,,,,,,
82,Andyson,BX,,,550-850W,C,2019,,ATX,ATX 2.x,Full,No,B,DF,SSR,DC-DC,Andyson,Q8,Updated M5+
83,,E5+,,,300-500W,F,2017,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,Andyson,E5+,PPFC
84,,GX,,,500/600/800W,C+,2018,,ATX,ATX 2.x,Full,Semi,G,LLC,SR,DC-DC,Andyson,F8,Updated H6
85,,H6,,,500-800W,C+,2017,,ATX,ATX 2.x,Full,Semi,G,LLC,SR,DC-DC,Andyson,F8,
86,,M5+,,,450W,E,2017,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,Andyson,M5,
87,,,,,550/650W,C,2017,,ATX,ATX 2.x,Full,No,B,DF,SSR,DC-DC,Andyson,Q8,No transient response testing found.
88,,N,,,500/700W,B,2015,,ATX,ATX 2.x,Full,Semi,T,LLC,SR,DC-DC,Andyson,N8,
89,,PX,,,1200W,B,2017,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,Andyson,Modified R8,Updated R series
90,,R,,,850W,B,2015,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,Andyson,H8,
91,,,,,1200W,B,2015,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,Andyson,R8,
92,,TX,,,700W,B,2019,,ATX,ATX 2.x,Full,Semi,T,LLC,SR,DC-DC,Andyson,N8,Updated N series
93,,Venus,,,600W,E,2017,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,Andyson,M5 costdown,
94,,,,,,,,,,,,,,,,,,,
95,Antec/Atom,Atom,Bronze (B),,550/650W,E,2020,,ATX,ATX 2.x,230V,No,B,DF,PR,GR,Andyson,M5,
96,,,V Series (Teal & Light Blue Label),,350-750W,F,2019,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,Andyson,E5+,"No 80 Plus or Cybenetics rating, OCP is not claimed on any rail, poor 12V output relative to total capacity, poor quality fan, etc. Basically e-waste."
97,,Cuprum Strike (CSK),,Bronze,450/550/650W,E,2020,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,Hui Cheng,~Zalman Megamax V2,Also known as CSK[w]H. Not printed on the logos.
98,,,,"""DC""",550/650/750W,C-,2025,,ATX,ATX 2.x,Full,No,B,DF,SR,DC-DC,XWY,A11 (HKC ATX-41B clone),DC-DC variant of the CSK Bronze; only 750W has 300W 12VHPWR.
99,,,,H Bronze,750W,E,2020,,ATX,ATX 2.x,Full,Semi,B,DF,PR,GR,Hui Cheng,~Zalman Megamax V2,
100,,,,Pro ATX 3.1,850/1000W,C,2024,,ATX,ATX 3.x,230V,Semi,B,DF,SSR,DC-DC,Andyson,P37,Sleeve bearing fan. 12V-2x6 is fixed.
101,,"Earthwatts Gold
(EAG)",,Asia,550/650/750W,E,2019,,ATX,ATX 2.x,Full,Semi,G,ACRF,SR,GR,FSP,Aurum 92+,"Most likely for the Asian market; sightings in China and India. Ketchup and mustard cables, different fan grille, label, and box."
102,,,,EVO,550/650W,C,2018,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,HKC,ATX-06,Appears to be targeted primarily at the Eastern market.
103,,,,Pro,550/650/750W,A-,2018,,ATX,ATX 2.x,Full,Semi,G,LLC,SR,DC-DC,Seasonic,Focus Gold,Cost-down SSR-FM platform. White 750W is available.
104,,GSK ATX 3.1,,,750/850W,B+,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,XWY,A04 (HKC ATX-23B clone),"Questionable fan choice, claimed as FDB, model was noted as rifle in a review of another PSU."
105,,"Neo Eco
(NE)","Classic 
(NE-C)",v1,550/650W,E,2017,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,CWT,GPK,
106,,,,v2,550/650W,E,2020,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,Andyson,X8,"X8 might be a clone of CWT's GPK platform, but is similar to the M5 platform (not very good.)"
107,,,"Classic Mod.
(NE-M)",v1,550/650W,E,2017,,ATX,ATX 2.x,Full,Semi,B,DF,PR,GR,CWT,GPK,
108,,,,v2,550/650W,E,2020,,ATX,ATX 2.x,Full,Semi,B,DF,PR,GR,Andyson,X8,"X8 might be a clone of CWT's GPK platform, but is similar to the M5 platform (not very good.)"
109,,,"Gold
(NE-G)",Modular,650/750/850W,B,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Helly,ATX-0500GQ,
110,,,,Modular ATX 3.0,850/1000/1300W,A,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Helly,EPS-0100,
111,,,Gold Zen,,500/600/700W,C,2019,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,Andyson,PAD07,Sleeve-bearing fan.
112,,High Current Gamer (HCG),,Gold,650/750/850W,A-,2018,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Seasonic,Focus Gold,2 850W samples died in testing during OPP/OCP evaluation.
113,,,,Pro Platinum,850/1000/1200W,A,2024,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Seasonic,Vertex PX,
114,,,,Extreme,850/1000W,A,2018,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Seasonic,Focus Gold,
115,,Signature,,Platinum,1000/1300W,A-,2020,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,Seasonic,Prime Platinum,
116,,,,Titanium,1000W,A-,2020,,ATX,ATX 2.x,Full,Full,T,LLC,SR,DC-DC,Seasonic,Prime Titanium,
117,,VP Plus,,-,500-700W,E,2018,,ATX,ATX 2.x,Full,No,W,DF,PR,GR,Andyson,M5+,
118,,,,230V,500-700W,E,2018,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,Andyson,M5+,
119,,VPF,,,550/650W,C-,2015,,ATX,ATX 2.x,Full,No,B,DF,PR,DC-DC,Delta,,"No inrush protection. Sold in the US as Earthwatts Green. 650W utilizes 105C secondary caps, 550W 85C."
120,,,,,,,,,,,,,,,,,,,
121,Apevia,Prestige,,Standard,600/800/1000W,C,2019,,ATX,ATX 2.x,Full,No,G,DF,PR,DC-DC,Guang Hai,GH356,Be wary that more variants of the Prestige are made! Same platform as Xigmatek Hydra M.
122,,Signature,,,900/1050W,E,2017,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,Guang Hai?,,Group regulated; effective capacity is 10% lower than advertised based on +12V current rating
123,,Jupiter,,,600/800/1000W,E,2020,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,Guang Hai?,,"Very low build quality, basically e-waste"
124,,Essence,,,600/700W,F,2020,,ATX,ATX 2.x,Full,No,N,DF,PR,GR,Guang Hai?,,PPFC; e-waste
125,,Spirit,,,600/700W,F,2020,,ATX,ATX 2.x,Full,No,N,DF,PR,GR,Guang Hai?,,PPFC; e-waste
126,,Beast,,,550/650/700W,F,2016,,ATX,ATX 2.x,Full,No,N,DF,PR,GR,Guang Hai?,,PPFC; e-waste
127,,Venus,,,500W,F,2016,,ATX,ATX 2.x,Full,No,N,DF,PR,GR,Guang Hai?,,PPFC; e-waste
128,,Captain,,,500W,F,2016,,ATX,ATX 2.x,Full,No,N,DF,PR,GR,Guang Hai?,,PPFC; e-waste
129,,Raptor,,,500W,F,2016,,ATX,ATX 2.x,Full,No,N,DF,PR,GR,Guang Hai?,,PPFC; e-waste
130,,ITX,,,300-500W,F,2023,,Other,ATX 2.x,Full,No,N,DF,PR,GR,Guang Hai?,,PPFC; e-waste
131,,TFX,,,300-500W,F,2020,,Other,ATX 2.x,Full,No,N,DF,PR,GR,Guang Hai?,,PPFC; e-waste
132,,SFX,,,300-600W,F,2020,,SFX,ATX 2.x,Full,No,N,DF,PR,GR,Guang Hai?,,PPFC; e-waste
133,,,,,,,,,,,,,,,,,,,
134,Apexgaming,All PSUs,,,,E,,,,,,,,,,,Solytech,,"Very low overall performance and poor quality control leading to extremely inconsistent results, even on their high-end models. Lower-end models are untested and should also be avoided unless professional reviews are released."
135,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,
140,"Aresgame
(Pystar)",All PSUs,,,,E,,,,,,,,,,,Jiumeng,,Fraudulent business practices and review manipulation. Testing from multiple sources has shown performance to be significantly lower than average. Fake 80+ certifications. Significant platform downgrades with the same model number and no difference in branding prevent review data from being useful for making recommendations. Tier E should be considered an upper bound for recommendations; certain models such as the AGV qualify for tier F.
141,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,
145,ASRock,Phantom Gaming (PG-G),,,1300/1600W,A,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,FSP,Hydro PTM Pro ATX 3.0,"FSP-57AZB. 12V-2x6 connector (GPU side) has thermistors to act as an ""OTP""."
146,,,,,750/850/1000W,A,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,FSP,Hydro PTM Pro ATX 3.0,"12V-2x6 connector (GPU side) has thermistors to act as an ""OTP"". Stellar ripple suppression, especially on the minor rails."
147,,Steel Legend (SL-G),,,650-1000W,B+,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,HEC,Custom,"1000W model has poor transient response on 12V under 200% spike, other models mediocre. 850/1000W avail. in white."
148,,,,,1200W,A,2025,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,HEC,Custom,OCP is set way higher than necessary on the 12V and 5VSB rails. Good noise profile given its capacity.
149,,Taichi (TC-T),,,1300W/1650W,A+,2024,,ATX,ATX 3.x,Full,Full,T,LLC,SR,DC-DC,FSP,FSP-57ALB (Mega Ti),"Optional ""5V Boost"" button which increases +5V by 200mV; bridgeless PFC. 12V-2x6 connector has thermistors to act as an ""OTP""."
150,,,,,,,,,,,,,,,,,,,
151,ASUS,Prime,,,750/850W,B+,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,CWT,GPX ATX 3.0,
152,,ROG,Loki,Platinum,750-1200W,A,2022,,SFX-L,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Great Wall,Custom,Not to be confused with the Xigmatek Loki.
153,,,THOR,Platinum,850W,A,2018,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,Seasonic,Focus Platinum,
154,,,,,1200W,A-,2018,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,Seasonic,Prime Platinum,
155,,,,Platinum II,850W,A,2023,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Seasonic,Focus Platinum ATX 3.0,
156,,,,,1000/1200W,A,2023,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Seasonic,Prime Ultra Platinum ATX 3.0,
157,,,,Platinum III,1000/1200W,A,2025,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Seasonic,Custom,"Fan profile is extremely relaxed, OCP is set way too high on the minor rails, no FFP despite being an extremely expensive platform."
158,,,Strix,Aura Gold,750-1200W,A-,2022,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,CWT,Custom,OPP is set way higher than necessary and isn't reduced even under high operating temperatures. Very poor 200% excursion response.
159,,,,Gold,550-850W,A,2020,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Seasonic,Focus Gold,650W has poor 3.3V transient response
160,,,,Platinum,850W,A,2024,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Great Wall,Custom,"5VSB OCP set high, poor 3.3V transient response in the 200% excursion"
161,,,,,1000W,A,2024,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Great Wall,Custom,Much better performance than the 1200W model and fewer issues despite using the same platform.
162,,,,,1200W,B+,2024,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Great Wall,Custom,"Multitude of minor issues leading to low overall performance, does not meet requirements for tier A in Aris' testing. Possible bad sample?"
163,,TUF,,Gold,750-1200W,B,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Great Wall,Hunters Fire,
164,,,,Bronze,450-750W,B,2022,,ATX,ATX 2.x,Full,No,B,LLC,SR,DC-DC,Great Wall,Modified GW-ATXBL,Mediocre transient response and low quality caps.
165,,,,,,,,,,,,,,,,,,,
166,AZZA,PSAZ,ARGB Bronze,New,550/650/750W,C-,2024,,ATX,ATX 2.x,Full,No,B,DF,SR,DMA,Helly,ATX-0600B,"2 year warranty. PSAZ Bronze w/ARGB fan. 540W, 648W, & 744W on 12V respectively."
167,,,,New (230V),550/650/750W,C-,2024,,ATX,ATX 2.x,230V,No,B,DF,SR,DMA,Helly,ATX-0600B,Cost-down full input new PSAZ Bronze w/ ARGB fan.
168,,,,Old,550/650W,E,2020,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,Andyson,M5,"2 year warranty. PSAZ Bronze w/ARGB fan. 550W: 492W, 650W: 576W on 12V."
169,,,Bronze,New,550/650/750W,C-,2024,,ATX,ATX 2.x,Full,No,B,DF,SR,DMA,Helly,AD-0800K,"2 year warranty. 550W: 540W on 12V, 650W: 648W on 12V, 750W: 744W on 12V."
170,,,,New (230V),550/650/750W,C-,2024,,ATX,ATX 2.x,230V,No,B,DF,SR,DMA,Helly,AD-0800K,Cost-down full input new PSAZ Bronze.
171,,,,Old,650W,E,2020,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,Andyson,M5,2 year warranty. 650W: 576W on 12v.
172,,,Gold,-,750/850W,C+,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Helly,ATX-0500GQ,"2 year warranty (likely due to a poor quality sleeve bearing fan); No OTP claimed, but platform is otherwise reasonably capable."
173,,,,ATX 3.0,750W,C+,2021,,ATX,ATX 3.x,Full,No,G,LLC,SR,DC-DC,Helly,ATX-0500GQ,2 year warranty (likely due to a poor quality sleeve bearing fan); platform is otherwise reasonably capable.
174,,,,,850W,C+,2021,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Helly,ATX-0500GQ,2 year warranty (likely due to a poor quality sleeve bearing fan); platform is otherwise reasonably capable.
175,,,,ATX 3.1,1000W,B-,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Helly,ATX-0800GB,"Ball bearing fan. No warranty period mentioned, detier to B-."
176,,,,,,,,,,,,,,,,,,,
177,be quiet!,Dark Power,-,12,750/850/1000W,A,2021,,ATX,ATX 2.x,Full,Full,T,LLC,SR,DC-DC,FSP,Custom,
178,,,,13,750/850/1000W,A,2023,,ATX,ATX 3.x,Full,Full,T,LLC,SR,DC-DC,FSP,Custom,"Bridgeless PFC, OCP needs tuning on all rails"
179,,,Pro,11,550/650/750W,A+,2015,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,FSP,Custom,
180,,,,,850-1200W,A+,2015,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,FSP,Custom,
181,,,,12,1200/1500W,A+,2020,,ATX,ATX 2.x,Full,Full,T,LLC,SR,DC-DC,CWT,Modified CTT,"Interleaved PFC; digital operation for primary, APFC and 12V; minor rails are analog."
182,,,,13,1300/1600W,A+,2023,,ATX,ATX 3.x,Full,Full,T,LLC,SR,DC-DC,CWT,CST,"Interleaved PFC; digital operation for primary, APFC and 12V; minor rails are analog."
183,,Power Zone 2,,,750/850/1000W,B+,2025,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,FSP,Custom,First be quiet! PSU with semi-passive operation.
184,,Pure Power,,10,400-700W,B-,2016,,ATX,ATX 2.x,Full,No,S,ACRF,SR,DC-DC,FSP,Heavily modified Raider,"Non modular variant of the Pure Power 10 CM, virtually identical."
